Key,Value
BATER A CAÇULETA,Morrer. 
BATER FÔFO,Não cumprir um compromisso. 
BATER SETE FREGUESIAS,Andar por vários lugares. 
BATER UMA EM INTENÇÃO DE,Masturbar-se pensando 
BATORÉ,Baixinho. 
BEBER COM FARINHA,Ingerir bebida alcoólica demais . 
BEBEU,(bébéu) Boneca de pano. 
BEIÇO,Lábio 
BEIJU,Biju. Guloseima feita com massa de mandioca . Há quatro 
 2 BEM-EMPREGADO,Bem-feito! Frase usada para dizer q ue o 
BEREU,Zona; baixo meretrício; cabaré. 
BESTAR,Bobear. 
BEXIGA,Coisa ruim. 
BEXIGUENTO,Pessoa que não presta. 
BEZERRO,"Contração voluntária ou involuntária na v agina, "
BIBOCA,"Beco ou lugar estranho. Lugar apertado, es condido, "
BICA,"Calha, canal ou tubo em forma de meia cana p ara escorrer a "
BICADA,Dose normalmente de cachaça 
BICHINHO,Forma carinhosa de chamar um animal ou u ma pessoa 
BICO,Chupeta. 
BIGU,"Carona, condução gratuita. "
BIJU,Beiju. Guloseima feita com massa de mandioca . Há quatro 
BILA,Bola de gude. 
BILOTO,Botão. 
BIMBA,Pênis de criança. Pênis pouco desenvolvido.  
BIQUEIRA,Calha para escorrer a água da chuva. 
BIQUEIRO,Que come pouco. 
BISCATEIRA,Prostituta. 
BISNAGA,Pão comprido de forma cilíndrica e com as  pontas finas. 
BOCA QUENTE,Lugar perigoso. 
BOCA-BANCA,Atitude boçal. 
BOCA-DE-SUBACO,"Pessoa muito calada, bicho do mato . "
BOCA-DE-TRAMELA,Pessoa que fala muito. 
BOÇAL-BANQUISTA,Pessoa pedante. 
BOCAPIO,1. Sacola grande feita com palha. 2. Atra so na vida. 
BOCÓ,"Bobo, tolo. "
BODOSO,"Bacana, arrumado. "
BOGA,Ânus. 
BOGAR,Surgimento de uma bolha na pele. 
BOI,"Menstro (A mulher tá de boi, menstruada). "
BOLA DE ASSOPRO,"Balão, bexiga. Bola de gás usada em "
BOLA DE MARRAIA,Bola de marraio. Bola de gude. Bo linha de 
BOLA DE MARRAIO,Bola de gude. Bola de vidro usada  pelas 
BOLACHA DE GOMA,"Saquarema. Biscoito, achatado e s eco, feito "
BOLACHÃO SECO,"Biscoito feito com farinha de trigo , açúcar, sal, "
BOMBA DE BREU,Artefato pirotécnico usado nas fest as juninas. 
BORA,Vamos embora. 
BOTAR,"Colocar, pôr. "
BOTAR BANCA,"Considerar-se superior, exibir-se, va ngloriar-se. "
BOTAR CABRESTO,Controlar alguém. 
BOTAR CANGA,"Dominar, oprimir alguém. "
BOTAR NO MATO,"Descartar, jogar fora. "
BOTAR QUENTE,Agir ou falar com firmeza. 
BRANCHUR,"""Filosofo"" muito citado no Ceará. "
BREADO,"Melado, sujo. BRECHAR"
BRECHEIRO,"Indivíduo que observa pelo buraco da br echa, da "
BREFAIA,"Bagulho, porcaria. "
BREGA,Meretrício. Prostíbulo. Zona. 
BREGUESSO (BREGUÉSSO), Objeto sem valor. 
BRENHA,Lugar longe de difícil acesso. 
BRIBA,Pequena lagartixa. 
BROCHA,"Tachinha. Prego pequeno, de cabeça larga e  chata, "
BRÔCO," Amalucado, abobalhado, desorientado, escle rosado. "
BROCOIÓ,"Pessoa boba, otário, demente. "
BRUGUELO,Criança pequena. 
BUCHA,"Comida que alimenta pouco, mas pesa na barr iga. "
BUCHADA,"Comida feita com intestinos de bode, cabr ito, carneiro "
BUCHO,Barriga. 2. Pessoa muito feia. 
BUCHO CHEIO,Barriga com bebê 2. Barriga cheia de comida ou 
BUCHUDA,Gestante. 
BUFA,Peido que não faz barulho. 
BULIDA,Mulher que perdeu a virgindade. 
BULIR,"Aborrecer, brincar, caçoar, incomodar. 2. A gitar, mexer, "
BULIÇOSO,Pessoa que mexe em tudo (não passa um mi nuto sem 
BUNDEIRA,Mulher que prefere o coito anal (dar a b unda). 
BUNEQUEIRO,"Quem bota boneco (ver ""butar buneco"").  "
BURACAJU,Apelido dado à cidade de Aracaju quando está com 
BURRINHO,Garrafa de Coca-Cola cheia de cachaça. 
BUSCA-PÉ,"Artefato pirotécnico, preso a uma pequen a haste de "
CABEÇA-DE-FRADE,Obstáculo de cimento em forma de meia bola 
CABEÇA-DE-PREGO,Furúnculo. 
CABELUDO,Pão-doce feito com coco. 
CABRA,"Qualquer Indivíduo. Indivíduo destemido, pr ovocador ou "
CABRA DA PESTE,"Indivíduo destemido, provocador ou  valentão. "
CABRA SAFADO,Indivíduo de atitudes incorretas. 
CABRA-MACHO,"Indivíduo destemido, provocador ou va lentão. "
CABRUNCO,Carbúnculo. Coisa ruim. 
CABRUNQUENTO,Coisa ou pessoa ruim. 
CAÇADOR DE ANDRÓIDE,Indivíduo que tem relações se xuais com 
CACETE-ARMADO,Bar ou restaurante pequeno com pouc o asseio 
CAFUÇÚ,"Pessoa desajeitada, mal vestida, mala. "
CAFUNDÓS DO JUDAS,Lugar distante. 
CAGADO,Sortudo. 
CAGADO E CUSPIDO,"Encarnado e esculpido. Idêntico,  igual, muito "
CAIPORA,Quem fuma muito. 
CAIR CACAU,Chover. 
CAIXA-DO-PEITO,Tórax. Cavidade torácica onde fica m os pulmões 
CAIXÃO,Caixão 1. Batente. Peça de madeira onde a porta ou janela 
CAIXA-PREGOS,"Lugar afastado, distante, de acesso difícil. "
CAJURANA,Homem vestido de mulher em festa pré-car navalesca. 
CALANGO,"Lagarto pequeno, típico do Nordeste. "
CALÇOLA,Calcinha. 
CALIFOM,Sutiã. 
CALOMBO,Inchaço na pele. 
CALUNGA,Camundongo. Rato muito pequeno. 
CAMBADA,Grupo de pessoas desprezíveis. 
CAMBAIO,Que tem as pernas arqueadas para dentro. 
CAMBALAFOICE,"Amante, namorado. "
CAMBÃO,Mulher feia. 
CAMBAPÉ,Rasteira. 
CAMBITO,Perna fina. 
CAMINHÃO DE FEIRA,"Caminhão pau-de-arara. Caminhão  coberto, "
CANELAU,"gente pobre, plebe rude. "
CANGA,Peça de madeira que une um grupo de bois pa ra o 
CANGACEIROS,Grupo folclórico que canta e dança re presentando 
CANGALHA,Suporte colocado no lombo dos animais pa ra 
CANGUINHAS,"Ávaro, mão-de-vaca, somítico. "
CANJICA,Curau. Mingau com grãos pilados de milho que se come 
CÃO CHUPANDO MANGA,"Corajoso, competente. "
CAPÃO,Frango capado. 
CAPAR O GATO,"Ir embora, fugir. "
CAPOTARIA,Oficina para conserto de estofados de c arro. 
CAPOTE,Casaco. 
CAPUCHO (CO),Sabugo. Espiga de milho sem os grãos . 
CARÃO,"Bronca, repreensão. "
CARECER,"Necessitar, precisar. "
CARITÓ,Solteirona. Mulher que envelhece sem conse guir casar. 
CARNE MOQUEADA,Carne defumada e salgada. 
CARNE-DE-SOL,"Carne de vaca, sem ossos, cortada em  tiras ou "
avermelhada do que a carne-seca.  CARNE-SECA,"Charque, jabá. Carne de vaca, sem osso s, salgada, "
CARRADA,Grande quantidade. 
CARRAPICHO,Pão doce coberto com pequenos pedaços de coco. 
CARREGADO,Pessoa complicada ou comida de difícil digestão. 
CARREGO (Ê),"1. Carga, frete. 2. Pilha elétrica. "
CARREIRA,"1. Correria, corrida veloz. 2. Fila, fil eira. trilha. "
CARROCEIRO,Condutor de carroça puxada por cavalos . 
CARTA,Habilitação. Carteira Nacional de Habilitaç ão. 
CARURU,"Creme ou pasta feita com quiabo, camarão, castanha, "
CASA-DA-PESTE,"Lugar afastado, distante, de acesso  difícil. "
CASA-DE-ANDAR,Sobrado. Casa de dois ou mais pavim entos. 
CATABÍ,Buraco na estrada (Esta estrada está cheia  de catabí) 
CATABIL,1 Buraco na pista. Acidente de terreno qu e origina o 
CATENGA,Lagartixa escura. 
CATRAIA,1. Mulher muito feia. 2. Prostituta. 
CATREVAGE,Gente cafona (isso parece um galicismo) . 
CAVACO-CHINÊS,Em São Paulo é chamado de beiju ou biju. 
CAVOUCAR,"Cavar, escavar. "
CERCAR LOURENÇO,"Arrudiar, não ir direto ao assunt o. "
CEROTO,Sujeira preta na pele devido a falta de ba nho. 
CHABOQUE,"Tampo. ""Chico deu uma topada que tirou o  chaboque "
CHABU,Falha na explosão de fogo de artifício. 
CHÁ-DE-BURRO,Canjica. Mungunzá. Mingau de milho b ranco 
CHÃ-DE-DENTRO,Coxão mole. Carne da parte interior  da coxa do 
CHÃ-DE-FORA,Coxão duro. Carne da parte exterior d a coxa do boi. 
CHAPA,Radiografia; dentadura. 
CHAPARIA,"Funilaria, lanternagem. "
CHAPEU DE TOURO,Chifre. 
CHAPULETADA,Porrada 
CHAVE,"Entrada, sinal. Primeiro pagamento na compr a de um "
CHEGA! CHEGA!,Venha rapidamente! Ajude-me! 
CHEGANÇA,Dança que representa a luta travada pelo s cristãos 
CHEI DOS PAU,Bêbado. 
CHEIRADA,Quando o jogador não acerta a bola; fura da. 
CHIBATA,"Coisa grande, pênis. "
CHIBIU,"Órgão genital feminino, buceta "
CHICOTE,"Bunda, nádegas. "
CHINFRIM,"Vagabundo, sem valor. "
CHIRINGAR,"Esguichar água ou outro líquido, jato d e liquido. "
CHOPARIA,Choperia. Local onde se serve chope. 
CHUCHAR,"Cutucar, pulsar. "
CHULIPA,Tapa na orelha com um dedo no sentido ver tical. 
CHUPÃO,Cabra que gosta de chupar pau. 
CHUPETA,Menino chorão. 
CIBAZOL,"Coisa sem valor. ""Não vale um cibazol"". "
CIENTÍFICO,Colegial. Ensino Médio. Segundo Grau. 
CISTERNA,Reservatório de água das chuvas. 
COBRINHA,Um tipo de artefato pirotécnico. 
COCADA-DE-AMENDOIM,"Pé de moleque. Doce duro, feit o com "
COCÓ,Tocaia. 
COCOREU,"Confusão, rolo. "
COITÉ,Cabaça. Cuia. 
COITEIRO,Aquele que protege ou esconde criminosos  ou 
COMBINADO,Em parceria. 
COMBROGÓ,"Cobogó. Elemento vazado de cerâmica, cim ento ou "
COMER ÁGUA,Tomar cachaça (Expressão muito usada n a Bahia). 
"COMO TATU, SÓ TEM O CASCO E O CU!","Sem nada, sem "
CORRALINDA,"Coisa linda, pessoa bonita. "
CORRER FROUXO,"Ter em abundância. ""Ali o dinheiro corre "
CORRIDO,"Apressado, expulso. "
CORUJA,"Pipa, papagaio "
COURO DE PICA,"Algo que vai e volta. ""Esse namoro e que nem "
CRANCO,Cancro. Coisa ou pessoa ruim. 
CRUZETA,Cabide para camisas e calcas. Também pode  ser 
CÚ DE CANA,Cachaceiro. 
CU-DE-BOI,Briga. Conflito. 
CU-DE-NOVELO,Pessoa que tem a bunda murcha. 
CUIA,Cabaça. 
CUMÉ?,Como é? 
CUMEEIRA,Telha em forma de meia cana usada nas pa rtes mais 
CUMELÃO,Garanhão. 
CUNHÃO,Corajoso 
CURUBAU,Ver Canelau. 
CURURU,Sapo grande. 
CUSTAR,"Demorar. ""O ônibus esta custando muito"". "
CUSTOSO,1. Algo demorado. 2.Criança manhosa. 
DA BEXIGA,1. Em grande intensidade. Ex. Estou com  uma fome da 
DA PESTE,Algo extraordinariamente bom ou ruim. 
DANAÇÃO,"Confusão, pressa, trapalhada. "
DANOU-SE,Tá perdido 
DANOU-SE!,"(ô) 1. Saiu apressado. 2. Expressa admi ração, "
DAR CHABU,"1. Dar errado, falhar. 2. Defeito em fo go de artifício. DAR COM A MÃO"
DAR FÉ DE,Perceber. 
DAR FIM,"1. Gastar, consumir. 2. Acabar, concluir,  encerrar, matar. "
DAR GASTO,"Consumir, usar. "
DAR GOSTO,"Dar prazer, ou satisfação. Ex.: A quali dade é de dar "
DAR NA FRAQUEZA,Sentir fraqueza ou moleza. 
DAR NO COURO,Conseguir fazer sexo. 
DAR O GRAU,"Caprichar. ""Pode deixar que vou dar o grau no seu "
DAR O MAIOR 10,Gostar  muito. 
DAR O PREGO,Enguiçar. 
DAR PARTE DE,Delatar. Denunciar. 
DAR TRANCO,Dar bronca. Dar carão. Repreender. 
DAR UM AGRADO,Dar uma gorjeta ou uma lembrança. 
DAR UM CARÃO,Dar uma bronca. Repreender. 
DAR UMA BARRIGADA,Defecar 
DAR UMA PRENSA,Dar uma bronca. Pressionar. 
DAR VENCIMENTO A,Dar conta do pedido ou serviço. 
DE BARRIGA,Grávida. 
DE BELEZA,(gíria) De graça. 
DE BOI,Menstruada. 
DE HOJE,Faz tempo. 
DE HOJE A OITO,Daqui a uma semana. 
DE HOJE A QUINZE,Daqui a quinze dias. 
DE LASCAR O CANO,"1. Bom demais. 2. Desagradável, "
DE PRIMEIRO,"Antes, antigamente. "
DE VEZ,Fruto em estado ideal para ser colhido. 
DEBOCHAR,"Desprezar, menosprezar, zombar. "
DEIXA DE PANTIN,Deixa de onda; Deixa de frescura (fulano está 
DEMENTE,"Indivíduo lento, lerdo, vagaroso. "
DERRADEIRO,Último. 
DESARNAR,"Desasnar. Aprender algo, ativar, avivar,  deslanchar, "
DESCABRIADO,"Desconfiado, que não confia em algo o u alguém. "
DESDROBO,Desdobro (dô) argumento pouco convincent e ou sem 
DESGRACEIRA NO CAMINHO DA FEIRA,"Confusão, lasquei ra, "
DESGRAMA,Desgraça. 
DESGRAMADO,Desgraçado. 
DESMANTELAR,"Arruinar, desarranjar, desconjuntar, desorganizar, "
DESPAMPARAR,Desgovernar. Perder o controle. 
DESTRAMBELHADO,"Atrapalhado, desajeitado, desarrum ado, "
DEU A BOBÔNICA,Encrencou; fodeu; a coisa pegou. 
DEU A GOTA SERENA,Encrencou; fodeu; a coisa pegou  
DEU MANDÚ,"Deu problema, pegou, agora fodeu "
DEU O BUTE,"Agora encrencou, nem para frente nem p ara atrás, "
DEVER,Lição de casa. Tarefa escolar feita em casa . 
DIABEISSO!,Que diabo e isso! Expressão de espanto . 
 5 DIABINHO MALUCO,Um tipo de busca-pé (artefato pir otécnico) 
DIACHO,Diabo. 
DISTRENADO,"Sem graça. ""Fica todo distrenado quand o elogiado"". "
DOR-DE-CORNO,Dor de cotovelo. Tristeza de amor. 
DOR-DE-FACÃO,Dor-de-veado. Dor pontiaguda e forte  que se 
DOR-DE-MULHER,Cólica menstrual. 
DOR-DE-VEADO,Dor-de-facão. Dor pontiaguda e forte  que se 
DOR-D'OLHOS,Dor nos olhos causada por afecções (c onjuntivite). 
DOZE HORAS,"Em Sergipe é muito usada tanto para me io-dia, "
"E FOI, FOI?",É mesmo? 
É NÃO,"Não é. O nordestino, inclusive o sergipano,  fala o verbo "
É O BRINCO,Expressão idiomática que quer dizer qu e uma coisa é 
ÉGUA,Meretriz. Prostituta. 
EITA,"(Êitcha) Eta. Palavra usada para expressar a dmiração, "
EM VISTA,Diante. 
EMBUCHADA,1. Pessoa aborrecida ou com raiva. 2. M ulher 
EMPANZINADO,Empanturrado. Com o estômago cheio de  comida. 
EMPAPADO,"Que comeu alem da conta; Ver  ""Empazinad o"" "
EMPARELHADO,Ao lado de. Lado a lado. 
EMPATA FODA,Chato que fica atrapalhando o namoro do casal. 
EMPATAR,"Atrapalhar, dificultar, perturbar. "
EMPENCADO,Acompanhado de um monte de gente. 
EMPERIQUITADO,Enfeitado demais. 
EMPESTEAR,Deixar um cheiro forte por onde passa o u fica. 
EMPRENHAR,Engravidar. 
EMPRENHAR PELOS OUVIDOS,Acreditar em fofocas. 
EMPRIQUITAR,"Cismar, não aceitar. "
ENCAFIFAR,Desconfiar. Ficar intrigado ou pensativ o. 
ENCANDEAR,"Brilhar, ofuscar. "
ENCANGADO,Indivíduo que anda sempre junto com out ro. 
ENCANGAR GRILO,"Ócio, coçar o saco "
ENCAPOTAR,Colocar capa ou casaco 
ENCARCAR,"Encalcar, calcar, apertar, comprimir, fo rçar. "
ENCARNADO,Cor vermelha 
ENCOSTADO,"1. Fora de atividade, licenciado. 2. Pr eguiçoso. "
ENCRUADO,Que fica muito tempo sem ter relações se xuais. Difícil 
ENDIREITAR,"Acertar, arrumar, consertar, corrigir,  colocar direito, "
ENFADADO,Cansado. 
ENGABELAR,"Enganar, iludir. "
ENGEAR (ENJIAR),"Engelhar, enrugar. "
ENGODO,Isca para pescar camarão. ENGOMAR
ENGROSSANTE,"Gogó. Creme ralo feito com leite, far inha de "
ENGUIAR,"(pronuncia-se a letra u) Engulhar. Sentir  ânsia, enjôo, "
ENJEITAR,"Abandonar, desprezar, recusar, rejeitar.  "
ENRICAR,Enriquecer. 
ENTERTELA,Entretela. Pano enfiado entre o forro e  o tecido de 
ENTERTELADO,"Entretelado. 1. Bem arrumado, com gra vata, com "
ENTOJADO,Farto de tanto comer. 
ENTOJAR,Enjoar. Sentir enjôo. 
ENTOJO,(tô) Enjôo de mulher grávida. 
ENTREVADO,"Paralisado, paralítico. "
ENTRONCHADO,Torto. 
ENTRONCHAR,"Desalinhar, entortar. "
ENTROU COMO UMA BUFA E SAIU COMO UM PEIDO!,Entrou  e 
ENTROUXADO,"Amontoado, bagunçado. Como uma trouxa de "
ENTUFADO,"Amuado, emburrado, zangado. "
ENVERGAR,"Curvar, vergar. "
ENXERIDO,"Atrevido, intrometido, metido, ousado. "
ERRADO,"1. Indivíduo que não age corretamente. 2. Encabulado, "
ESBREGUE,"Bronca, repreensão. "
ESCALDA-PÉS,Banho medicinal que se dá aos pés com  água bem 
ESCAMBAU,Etc 
ESCANCARAR,"Exibir, mostrar. "
ESCANGALHAR,"Arruinar, bagunçar, estragar. "
ESCAPULIR,"Escapar, fugir. "
ESCROTO,Bom de briga; cafajeste. 
ESFARRAPADO,Mal vestido. Que tem a roupa em farra pos. 
ESGARÇAR,"Abrir, desfiar o tecido. "
ESGOELAR,Gritar. 
ESMOLER,"(êsmolér) Mendigo, pedinte. "
ESPADA,"Artefato pirotécnico preso a uma haste de madeira, que é "
ESPEVITADO,"Ágil, esperto, inquieto, malandro. "
ESPIAR,"Observar, olhar, ver, verificar. "
ESPIRITADO,Escandaloso. Extrovertido. 
ESTILAR,Escorrer líquido do nariz. 
ESTRIBADO,Cheio da grana. 
ESTROVENGA,Um tipo de foice pequena de dois gumes . 
ESTRUPÍCIO,"Pessoa enrolada, mulher feia (Cambão) "
ESTUPOR BALAIO,1. Infarto. Morte. Paralisia repen tina. 2. Pessoa 
ESTUPORADO,"Estragado, gasto, em mal estado. "
ESTUPORAR,1. Consumir ou gastar muito. Desperdiça r dinheiro. 2. 
ETA-PEGA,(Êta-pêga) Expressão usada quando a pess oa se 
FALAR MAIS QUE A PRETA DO LEITE,Falar muito. 
FALAR NOME,"Falar palavrão, palavra obscena. "
FALSA-BANDEIRA,Homossexual. 
FARDA,Uniforme escolar. 
 6 FARINHA-DO-REINO,Farinha de trigo. 
FASTIO,Falta de apetite. 
FATO,Intestino de animal. 
FAZER ESPÍRITO,Fazer escândalo. 
FAZER FIO TERRA,Quando a mulher mete o dedo no fi ofo do 
FAZER HORA COM A CARA,Fazer gozação. 
FAZER MAU,"Desvirginar. ""Ele fez mal a moca"". "
FAZER MERCADINHO,Fazer compras no supermercado. 
FAZER O GOSTO,Agradar. Fazer a vontade de alguém.  
FAZER SABÃO,Sexo entre lésbicas. 
FÊ,Letra F. 
FECHICLER,Ziper. 
FECHO ECLER (ECLÉR),Zíper. 
FEIJÃO-DE-CORDA,Feijão-fradinho. Feijão verde em vagem 
FEIRA DE SULANCA,Feira de artigos baratos. Feira onde se vendia 
FEIÚRA,"Ato reprovado, erro, indignidade. "
FEOFÓ,"Ânus, (mesmo que furico, butico). "
"FI, FIO OU FILHO DA BEXIGA",Coisa ou pessoa ruim. 
"FI, FIO OU FILHO DA GOTA-SERENA",Coisa ou pessoa r uim. 
"FI, FIO OU FILHO DA MOLÉSTIA",Coisa ou pessoa ruim . 
"FI, FIO OU FILHO DA PESTE",Coisa ou pessoa ruim. 
"FI, FIO OU FILHO DE UMA ÉGUA",Filho de uma prostit uta. 
"FI, FIO OU FILHO DO CABRUNCO",Coisa ou pessoa ruim . 
"FI, FIO OU FILHO DO CRANCO",Coisa ou pessoa ruim. 
FICAR DE BOI,Menstruar. 
FICAR MAL,Ficar de mal. Cortar as relações de ami zade. 
FICHINHA,"Chapinha, tampinha. Tampa metálica usada  para lacrar "
FILHO DO CABRUNCO,"Desgraçado, maldito "
FINDAR,"Acabar, concluir, terminar. "
FITA GOMADA,Fita adesiva. 
FITEIRO,"Quiosque, banca de revista "
FOGUINHO,Afrodisíaco. 
FOI MAL,Perdão. 
FOLÓ,"Folote, frouxo, folgado, largo. "
FOLOTE,"Frouxo, gasto  "
FONICE,Avareza. 
FONO,"(fô) Ávaro, pão-duro. "
FORROBODÓ,"Confusão, algazarra, bagunça "
FRANGOTE,Adolescente 
FREGE-MOSCAS,Bar ou restaurante pequeno com pouco  asseio e 
FRESCA,Cabaré. Casa de diversões e espetáculos on de se bebe e 
FRESCAR,"Fazer uma brincadeira. ""Se zanga não, to só frescando"". "
FRESCO,"Viado, gay "
FRISO,Grampo de cabelo 
FRÔXO,Medroso 
FULERAGE,Coisa sem valor.  
FUMANDO NUMA QUENGA,Puto da vida. 
FUMBAMBENTO,Desbotado. Sem cor. 
FUNDURA,Profundidade. 
FURICAGEM,Frescura 
FUVIAR,"Fervilhar, zumbir. Zumbido produzido pelo ouvido ou por "
GABIRU,"1. Rato escuro e grande. 2. Aproveitador, espertalhão. GAIA – Chifre "
GAITADA,Gargalhada. 
GAITAR,Gargalhar. 
GAITOSO,Aquele que faz os outros rirem. 
GALA,"Esperma, sêmen. "
GALALAU,Homem alto. 
GALEGO,Loiro. 
GALETO,Frango. 
GALINHA DE CAPOEIRA,Galinha caipira. Galinha cria da em casa. 
GALINHA MATRIZ,Galinha reprodutora. Só é abatida quando deixa 
GALINHOTA,Carrinho de mão. 
GALO,Indivíduo com orgasmo rápido. 
GASGUITA,2. Pessoa que fala muito alto ou grita. 2. Mulher muito 
GASTURA,"Sensação desagradável, aflição, desconfor to, "
GATO,Instalação clandestina de eletricidade. 
GATO DE HOTEL,Diz-se das pessoas que comem todo o  que 
GATO REI,Prostituta. 
GAZEAR,Faltar à aula ou a uma obrigação para pass ear ou divertir-
GELADINHO,Sorvete caseiro embalado em saco plásti co 
GEROZ,(ó) Algeroz. Junção entre o telhado e uma p arede mais 
GIGOLETE,"Passadeira, diadema, arco. "
GOELA,Garganta. 
GOELAR,Furtar. 
GOGA,Deboche. 
GOGAR,Debochar de alguém. 
GOGO,(Gôgo) Escarro. Gosma. 
GOGÓ,Engrossante. Mingau servido em mamadeira. 
GOGUENTO,"Goguento Que expele escarro, gosma. "
GOIA,"Fim do cigarro (o mesmo que Guimba, Piola, S egunda) "
GOMA,"Cola caseira feita com água, farinha de trig o ou amido de "
GORAR,Estragar a cerveja ou o ovo. 
GORÉ,Um tipo de caranguejo miúdo. 
GORGOMILO,"Garganta, goela, princípio do esôfago. "
GOSTOSÃO,Ônibus. (denominação antiga). 
GOTA,Coisa ruim. 
GRELADO,Concentrado. 
GRETEIRO,"Indivíduo que observa pelo buraco da bre cha, da greta "
GRIZMELA,Magra. 
GRUDE,Sujeira; porcaria 
GUAIAMUM,Espécie de caranguejo de cor azul. 
GUARIBADA,Dar uma caprichada. 
GUÊ,Letra G. 
GUERREIRO,Manifestação folclórica que conta uma h istória de 
HI-FI,"(rai-fai) Música mecânica, proveniente de d isco ou fita. "
INCOMODADA,Menstruada. 
INFELIZ DA COSTELA OCA,"Sujeito chato, enjoado. "
INGEMBRADO,Torto. 
INHACA,Mal cheiro do sovaco. 
 7 INTEIRAR,Completar. 
ISPILICUTE,"Do inglês ""She's pretty cute"". Engraça dinha. "
ISPRITADO,Enfurecido. 
ISTRIPULIA,Travessura 
ISTRUIR,Desperdiçar. 
JABÁ,"Charque. Carne-seca. Carne de vaca, sem osso s, salgada, "
JABIRACA,Lenço usado no pescoço. 
JACÓ,Pão francês 
JANTE,Roda metálica que fica no centro dos pneus dos veículos. 
JERERÉ,Puçá. Rede em forma de cone com círculo de  madeira ou 
JERIMUM,Abóbora 
JI,Letra J. 
JUNIR,"Arremessar, jogar com a mão. "
LACHAR,"Lascar, rachar. "
LAMBEDOR,Xarope caseiro feito com açúcar queimado  e seiva de 
LAMINHA,Parte interna do coco verde. Também é cha mada de 
LANÇAR,Vomitar. 
LÂNDRIA,Caroço no corpo. Íngua. 
LANGANHENTO,"1- Viscoso, visguento, mole, ensebent o, grudento. "
LANGANHO,"Viscoso, visguento, mole, ensebento, gru dento. "
LANHAR,Arranhar. Cortar superficialmente o corpo em acidente ou 
LANTERNAGEM,Funilaria. Conserto na carroceria do veículo. 
LAPA,Algo grande. Pedaço grande. 
LAPADA,"1. Bofetada, chicotada. 2. De uma vez. Ex.  Beber um copo "
